cav proportion,average delay,completed trips,ongoing trips,count,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay,collisions,emergencyStops,emergencyBraking,total teleports,avg travel time,"difference in average speed between actual and ""optimal"""
0.0,213.6229293,2875,3384,6262,4110.87,9.54,779.3,405.6,609.12,124.27,176.0,4879964,994997.52,1,2,7,1,779.2979879,0.05196538184
0.0,231.6725451,2882,3283,6168,4129.7,inf,786.45,411.85,615.16,119.74,178.1,4850796,964576.8,1,0,1,1,786.4455253,0.05609912224
0.0,216.7201459,2857,3497,6357,4037.13,9.51,779.46,419.99,612.47,121.58,175.24,4955008,986348.32,0,1,4,0,779.4569766,0.05368173576
0.0,207.8636479,2731,3487,6221,4057.79,9.4,791.61,420.68,624.01,115.68,174.35,4924631,923803.08,0,3,4,0,791.6140492,0.05122582683
0.0,223.5527297,2871,3216,6090,4206.05,inf,793.5,412.98,618.63,113.4,177.27,4832423,911856.52,2,0,1,2,793.5013136,0.0531502787
0.1,213.1896003,3204,3517,6724,4087.24,10.22,708.3,356.6,537.22,140.07,167.95,4762637,1140358.88,1,0,3,1,708.3041344,0.05215979495
0.1,221.1508142,3122,3210,6335,4270.57,inf,750.96,370.1,571.79,126.55,179.17,4757321,1031564.52,2,0,5,2,750.9583268,0.05178484704
0.1,224.5333443,3009,3439,6451,4134.0,9.6,756.01,394.01,582.52,133.12,175.47,4877009,1076889.59,1,1,6,1,756.0082158,0.054313823
0.1,218.7706268,2959,3391,6353,4138.15,inf,758.79,395.33,585.83,126.88,184.94,4820620,1041152.45,1,0,3,1,758.7942704,0.0528667706
0.1,218.8458122,2994,3676,6673,4032.14,9.85,741.83,387.41,571.8,136.84,168.9,4950227,1113309.75,1,2,7,1,741.8293122,0.0542753506
0.2,213.7419059,3712,3723,7438,4364.62,inf,682.32,323.29,499.58,144.22,174.43,5075115,1275206.8,2,1,6,2,682.3225329,0.04897148112
0.2,226.3416516,3541,3637,7181,4318.44,10.92,664.2,299.97,481.78,147.68,155.38,4769621,1224228.45,0,1,4,0,664.2001114,0.05241282768
0.2,209.9768185,3557,3759,7319,4190.61,10.61,684.53,333.85,509.53,144.19,176.86,5010048,1258528.0,1,2,5,1,684.5263014,0.05010650441
0.2,226.5224531,3473,3725,7201,4352.56,10.87,678.83,303.98,494.42,139.03,158.27,4888284,1158672.5,0,0,4,0,678.8340508,0.05204349926
0.2,233.943713,3415,3625,7043,4364.3,11.02,677.08,295.84,491.84,142.88,156.53,4768683,1170477.65,2,1,5,2,677.0812154,0.05360394862
0.201,225.4577902,3292,3654,6949,4203.22,10.68,691.08,328.56,512.74,137.64,157.0,4802335,1120860.38,0,0,7,0,691.0828896,0.05363930278
0.3,234.5629647,3732,3599,7334,4375.1,11.1,660.69,295.65,476.66,142.7,158.5,4845474,1209047.56,0,1,6,0,660.6863921,0.05361316649
0.3,262.7879518,3366,3366,6735,4455.98,10.83,689.89,286.89,495.56,139.42,160.33,4646440,1113291.77,1,1,4,1,689.8945805,0.05897422155
0.3,246.9060949,3822,3703,7528,4454.72,11.01,661.02,280.52,469.44,140.28,152.16,4976189,1203757.54,0,1,6,0,661.0240436,0.05542572707
0.3,255.5177327,3469,3469,6941,4436.6,11.03,686.49,305.1,495.09,142.09,159.25,4764902,1156968.38,1,2,8,1,686.4863852,0.05759314175
0.3,248.2984361,3426,3513,6942,4340.85,10.62,685.38,304.41,498.49,136.26,160.76,4757926,1107493.06,0,1,4,0,685.3825987,0.05720041838
0.4,243.0768993,3752,3670,7425,4455.12,11.15,651.47,274.22,460.96,146.21,153.32,4837136,1230199.4,0,2,7,0,651.4661279,0.05456124622
0.4,250.5092037,3979,3603,7585,4555.61,11.25,646.98,258.72,452.88,145.28,161.5,4907362,1262478.4,1,0,5,1,646.9824654,0.05498916801
0.4,256.0883119,3539,3381,6923,4541.96,11.12,680.55,286.69,483.12,146.02,162.62,4711487,1195331.9,0,4,7,0,680.555684,0.0563827757
0.4,265.7934052,3564,3459,7026,4479.59,11.06,665.34,270.01,470.73,140.05,158.52,4674679,1142063.0,0,3,8,0,665.3400228,0.05933431524
0.4,264.8853041,4152,3645,7800,4598.62,11.08,646.9,251.54,451.09,128.79,155.66,5045864,1139833.4,0,2,7,0,646.905641,0.05760104207
0.5,270.3619963,4010,3698,7711,4604.36,11.11,650.52,253.61,453.99,140.12,149.81,5016150,1217241.0,2,2,7,2,650.5187395,0.05871869191
0.5,269.9548969,4081,3548,7632,4668.2,11.34,641.47,238.43,441.53,145.82,153.01,4895717,1260552.68,1,1,5,1,641.4723532,0.05782847712
0.5,268.2802957,3892,3603,7498,4630.77,11.29,650.46,250.62,451.15,144.56,150.7,4877178,1227507.88,1,0,4,1,650.463857,0.05793427351
0.5,267.5724677,4237,3629,7869,4694.95,inf,642.76,237.3,442.18,123.68,153.72,5057892,1106356.4,2,4,6,2,642.7617232,0.05699154787
0.5,257.7308116,4099,3758,7860,4627.79,11.19,644.41,247.81,446.88,130.54,157.99,5065045,1153852.2,1,1,7,1,644.4077608,0.05569198507
0.6,289.0717789,4327,3257,7587,4819.96,10.79,665.85,248.22,459.47,118.29,162.43,5051820,1075321.3,0,4,8,0,665.8521155,0.05997389582
0.6,294.8210421,4328,3379,7710,4767.9,11.02,647.78,234.9,442.7,126.18,158.71,4994390,1131689.3,0,2,7,0,647.7808042,0.06183456911
0.6,278.7522499,4237,3454,7694,4746.95,11.25,637.46,230.1,435.79,122.32,150.64,4904603,1074162.1,1,5,12,1,637.4581492,0.05872239014
0.6,281.8247418,4182,3275,7460,4799.42,10.72,668.75,249.04,462.89,130.7,172.55,4988865,1182110.4,1,3,13,1,668.7486595,0.05872058328
0.6,275.543931,4226,3539,7768,4748.86,inf,639.86,235.21,437.37,123.22,154.13,4970409,1092182.8,1,3,12,1,639.8569773,0.05802317418
0.7,285.9909298,4348,3472,7823,4791.78,11.43,644.34,236.74,438.96,117.57,151.05,5040676,1057074.03,1,3,9,1,644.3405343,0.05968365196
0.7,299.3450908,4313,3368,7684,4761.98,11.47,640.05,230.44,434.52,130.96,160.43,4918158,1170121.55,0,5,10,0,640.0517959,0.06286147586
0.7,296.0143568,4306,2931,7240,4891.84,11.11,668.06,240.09,457.77,122.78,173.89,4836788,1097465.27,1,1,9,1,668.0646409,0.06051186399
0.7,303.5474956,4364,3334,7701,4816.79,11.54,638.27,229.01,432.07,118.17,149.08,4915320,1044366.18,0,3,11,0,638.2703545,0.06301862767
0.7,295.5820841,4296,3440,7739,4790.03,11.52,630.77,222.82,426.0,126.1,154.15,4881514,1111876.44,0,5,8,0,630.7680579,0.06170777303
0.8,315.5877,4405,3275,7683,4866.81,11.52,638.11,219.95,427.79,125.39,154.07,4902610,1115257.7,0,7,16,0,638.1114148,0.06484487786
0.8,308.5056673,4391,2755,7149,4953.5,10.85,658.08,232.06,443.52,127.65,176.28,4704648,1127302.5,1,2,10,1,658.0847671,0.06228034062
0.8,310.3222797,4366,3310,7679,4847.95,11.5,621.56,207.42,413.83,129.35,147.52,4772988,1125881.5,1,3,11,1,621.5637453,0.0640110314
0.8,321.1718153,4369,3286,7658,4794.45,11.09,639.12,227.25,431.69,128.41,153.03,4894378,1130271.55,1,8,17,1,639.1196135,0.06698825002
0.8,295.2873917,4358,3482,7843,4776.85,11.31,631.64,220.43,426.32,119.32,150.83,4953948,1061028.4,1,8,17,1,631.6394237,0.06181634168
0.9,311.976,4410,3146,7559,4820.5,inf,635.3,219.77,428.48,130.11,163.74,4802208,1167913.61,1,2,7,1,635.2967324,0.06471859766
0.9,304.5683379,4387,3186,7576,4818.08,11.41,624.87,215.45,418.83,133.81,166.46,4734041,1188871.41,1,2,9,1,624.8734161,0.06321363238
0.9,314.7956121,4429,3247,7679,4804.34,inf,634.78,222.36,429.03,130.3,153.65,4874500,1155032.84,1,5,15,1,634.7831749,0.06552317531
0.9,305.4875606,4315,3417,7735,4760.88,11.2,639.62,229.15,435.36,127.56,154.1,4947502,1127829.67,0,4,16,0,639.6253394,0.06416619629
0.9,303.4846492,4399,3271,7673,4841.98,10.94,632.59,217.55,424.16,126.31,155.56,4853886,1126313.07,0,7,17,0,632.5929884,0.062677799
1.0,306.947,4348,3280,7631,4771.27,inf,628.24,221.82,426.81,131.91,151.73,4794123,1152091.0,2,7,13,2,628.2430874,0.06433234757
1.0,303.576209,4328,3342,7673,4707.72,10.8,637.06,235.68,438.2,129.17,155.17,4888154,1145171.8,0,4,16,0,637.0590382,0.06448476312
1.0,319.2628984,4377,3141,7521,4828.94,11.04,628.06,209.95,420.4,138.75,160.31,4723634,1222580.44,1,0,11,1,628.0593006,0.06611448857
1.0,310.1722472,4367,3156,7526,4833.02,10.88,644.11,229.82,437.31,130.63,156.29,4847604,1149594.28,0,7,15,0,644.1142705,0.06417772887
1.0,305.4296746,4293,3059,7355,4815.3,11.38,626.54,221.84,421.24,143.26,167.54,4608206,1250214.36,0,5,15,0,626.5405846,0.06342900226
